Product_ID,Product_Name,Platform,URL
P001,TRIGGR UltraBuds N5,Flipkart,https://www.flipkart.com/triggr-ultrabuds-n5-latest-bt-v6-0-40hr-playtime-13mm-dynamic-drivers-rich-bass-bluetooth/p/itm81d532eea72e4?pid=ACCHGPZVT4GHHEDG
P002,Mivi DuoPods Solo,Flipkart,https://www.flipkart.com/mivi-duopods-solo-tws-new-launch-35db-anc-60h-rich-bass-50ms-gaming-mode-bt-v5-3-bluetooth/p/itm2213cb7e74fa8?pid=ACCHEAXFZNGXPDWZ
